Tolerance (%),beatport_key/1.0
0.0,0.7118863049095607
0.0005,0.7118863049095607
0.001,0.7118863049095607
0.0015,0.7118863049095607
0.002,0.7118863049095607
0.0025,0.7118863049095607
0.003,0.7118863049095607
0.0035,0.7118863049095607
0.004,0.7118863049095607
0.0045,0.7118863049095607
0.005,0.7118863049095607
0.0055,0.7131782945736435
0.006,0.7222222222222222
0.0065,0.7222222222222222
0.007,0.7687338501291989
0.0075,0.7919896640826873
0.008,0.8708010335917312
0.0085,0.8953488372093024
0.009,0.9018087855297158
0.0095,0.9043927648578811
0.01,0.9095607235142119
0.0105,0.91343669250646
0.011,0.9160206718346253
0.0115,0.9237726098191215
0.012,0.9302325581395349
0.0125,0.9328165374677002
0.013,0.9354005167958657
0.0135,0.9366925064599483
0.014,0.937984496124031
0.0145,0.937984496124031
0.015,0.937984496124031
0.0155,0.9431524547803618
0.016,0.9444444444444444
0.0165,0.9444444444444444
0.017,0.9457364341085271
0.0175,0.9483204134366925
0.018,0.9483204134366925
0.0185,0.9509043927648578
0.019,0.9509043927648578
0.0195,0.9509043927648578
0.02,0.9509043927648578
0.0205,0.9509043927648578
0.021,0.9509043927648578
0.0215,0.9521963824289406
0.022,0.9521963824289406
0.0225,0.9521963824289406
0.023,0.9521963824289406
0.0235,0.9547803617571059
0.024,0.9547803617571059
0.0245,0.9560723514211886
0.025,0.9560723514211886
0.0255,0.9560723514211886
0.026,0.9560723514211886
0.0265,0.9560723514211886
0.027,0.9573643410852714
0.0275,0.9573643410852714
0.028,0.9573643410852714
0.0285,0.9573643410852714
0.029,0.9573643410852714
0.0295,0.9573643410852714
0.03,0.9573643410852714
0.0305,0.9573643410852714
0.031,0.9573643410852714
0.0315,0.9573643410852714
0.032,0.9573643410852714
0.0325,0.9573643410852714
0.033,0.9573643410852714
0.0335,0.958656330749354
0.034,0.958656330749354
0.0345,0.958656330749354
0.035,0.958656330749354
0.0355,0.958656330749354
0.036,0.958656330749354
0.0365,0.958656330749354
0.037,0.958656330749354
0.0375,0.958656330749354
0.038,0.958656330749354
0.0385,0.958656330749354
0.039,0.958656330749354
0.0395,0.958656330749354
0.04,0.958656330749354
0.0405,0.958656330749354
0.041,0.958656330749354
0.0415,0.958656330749354
0.042,0.958656330749354
0.0425,0.958656330749354
0.043,0.958656330749354
0.0435,0.958656330749354
0.044,0.958656330749354
0.0445,0.958656330749354
0.045,0.958656330749354
0.0455,0.958656330749354
0.046,0.958656330749354
0.0465,0.958656330749354
0.047,0.958656330749354
0.0475,0.958656330749354
0.048,0.958656330749354
0.0485,0.958656330749354
0.049,0.958656330749354
0.0495,0.958656330749354
0.05,0.958656330749354
